Index,Timestamp,Millis,DataRate,PowerLevel,Indicator
1,12:43:27,1061,2,2,1
2,12:43:27,1062,2,2,1
3,12:43:27,1064,2,2,1
4,12:43:27,1065,2,2,1
5,12:43:27,1066,2,2,1
6,12:43:27,1068,2,2,1
7,12:43:27,1069,2,2,1
8,12:43:27,1071,2,2,1
9,12:43:27,1072,2,2,1
10,12:43:27,1073,2,2,1
11,12:43:27,1075,2,2,1
12,12:43:27,1076,2,2,1
13,12:43:27,1078,2,2,1
14,12:43:27,1079,2,2,1
15,12:43:27,1080,2,2,1
16,12:43:27,1082,2,2,1
17,12:43:27,1083,2,2,1
18,12:43:27,1084,2,2,1
19,12:43:27,1086,2,2,1
20,12:43:27,1087,2,2,1
21,12:43:27,1089,2,2,1
22,12:43:27,1090,2,2,1
23,12:43:27,1091,2,2,1
24,12:43:27,1093,2,2,1
25,12:43:27,1094,2,2,1
26,12:43:27,1096,2,2,1
27,12:43:27,1097,2,2,1
28,12:43:27,1098,2,2,1
29,12:43:27,1100,2,2,1
30,12:43:27,1101,2,2,1
31,12:43:27,1102,2,2,1
32,12:43:27,1104,2,2,1
33,12:43:27,1105,2,2,1
34,12:43:27,1107,2,2,1
35,12:43:27,1108,2,2,1
36,12:43:27,1109,2,2,1
37,12:43:27,1111,2,2,1
38,12:43:27,1112,2,2,1
39,12:43:27,1114,2,2,1
40,12:43:27,1115,2,2,1
41,12:43:27,1116,2,2,1
42,12:43:27,1118,2,2,1
43,12:43:27,1119,2,2,1
44,12:43:27,1120,2,2,1
45,12:43:27,1122,2,2,1
46,12:43:27,1123,2,2,1
47,12:43:27,1125,2,2,1
48,12:43:27,1126,2,2,1
49,12:43:27,1127,2,2,1
50,12:43:27,1129,2,2,1
51,12:43:27,1130,2,2,1
52,12:43:27,1132,2,2,1
53,12:43:27,1133,2,2,1
54,12:43:27,1134,2,2,1
55,12:43:27,1136,2,2,1
56,12:43:27,1137,2,2,1
57,12:43:27,1138,2,2,1
58,12:43:27,1140,2,2,1
59,12:43:27,1141,2,2,1
60,12:43:27,1143,2,2,1
61,12:43:27,1144,2,2,1
62,12:43:27,1145,2,2,1
63,12:43:27,1147,2,2,1
64,12:43:28,1148,2,2,1
65,12:43:28,1150,2,2,1
66,12:43:28,1151,2,2,1
67,12:43:28,1152,2,2,1
68,12:43:28,1154,2,2,1
69,12:43:28,1155,2,2,1
70,12:43:28,1156,2,2,1
71,12:43:28,1158,2,2,1
72,12:43:28,1159,2,2,1
73,12:43:28,1161,2,2,1
74,12:43:28,1162,2,2,1
75,12:43:28,1163,2,2,1
76,12:43:28,1165,2,2,1
77,12:43:28,1166,2,2,1
78,12:43:28,1168,2,2,1
79,12:43:28,1169,2,2,1
80,12:43:28,1170,2,2,1
81,12:43:28,1172,2,2,1
82,12:43:28,1173,2,2,1
83,12:43:28,1175,2,2,1
84,12:43:28,1176,2,2,1
85,12:43:28,1177,2,2,1
86,12:43:28,1179,2,2,1
87,12:43:28,1180,2,2,1
88,12:43:28,1181,2,2,1
89,12:43:28,1183,2,2,1
90,12:43:28,1184,2,2,1
91,12:43:28,1186,2,2,1
92,12:43:28,1187,2,2,1
93,12:43:28,1188,2,2,1
94,12:43:28,1190,2,2,1
95,12:43:28,1191,2,2,1
96,12:43:28,1193,2,2,1
97,12:43:28,1194,2,2,1
98,12:43:28,1195,2,2,1
99,12:43:28,1197,2,2,1
100,12:43:28,1198,2,2,1
101,12:43:28,1199,2,2,1
102,12:43:28,1201,2,2,1
103,12:43:28,1202,2,2,1
104,12:43:28,1204,2,2,1
105,12:43:28,1205,2,2,1
106,12:43:28,1206,2,2,1
107,12:43:28,1208,2,2,1
108,12:43:28,1209,2,2,1
109,12:43:28,1211,2,2,1
110,12:43:28,1212,2,2,1
111,12:43:28,1213,2,2,1
112,12:43:28,1215,2,2,1
113,12:43:28,1216,2,2,1
114,12:43:28,1217,2,2,1
115,12:43:28,1219,2,2,1
116,12:43:28,1220,2,2,1
117,12:43:28,1222,2,2,1
118,12:43:28,1223,2,2,1
119,12:43:28,1224,2,2,1
120,12:43:28,1226,2,2,1
121,12:43:28,1227,2,2,1
122,12:43:28,1229,2,2,1
123,12:43:28,1230,2,2,1
124,12:43:28,1231,2,2,1
125,12:43:28,1233,2,2,1
126,12:43:28,1234,2,2,1
127,12:43:28,1235,2,2,1
128,12:43:28,1237,2,2,1
129,12:43:28,1238,2,2,1
130,12:43:28,1240,2,2,1
131,12:43:28,1241,2,2,1
132,12:43:28,1242,2,2,1
133,12:43:28,1244,2,2,1
134,12:43:28,1245,2,2,1
135,12:43:28,1247,2,2,1
