Timestamp,Index
428,1
429,2
431,3
432,4
434,5
438,8
440,9
444,12
447,14
450,16
455,19
459,22
461,23
465,26
468,28
471,30
474,32
479,35
482,37
485,39
489,42
493,45
495,46
501,50
502,51
505,53
511,57
514,59
516,60
520,63
523,65
526,67
529,69
534,72
537,74
540,76
543,78
547,81
550,83
553,85
556,87
561,90
564,92
567,94
571,97
574,99
580,103
581,104
584,106
592,111
595,113
596,114
598,115
601,117
604,119
608,122
611,124
614,126
619,129
620,130
625,133
628,135
631,137
634,139
637,141
641,144
644,146
647,148
650,150
653,152
657,155
660,157
663,159
666,161
669,163
675,167
677,168
680,170
683,172
686,174
690,177
693,179
696,181
699,183
702,185
707,188
711,191
713,192
716,194
720,197
723,199
726,201
730,204
732,205
736,208
739,210
742,212
745,214
750,217
753,219
756,221
759,223
763,226
766,228
769,230
774,233
777,235
780,237
783,239
787,242
790,244
793,246
797,249
803,253
805,254
806,255
811,258
814,260
817,262
821,265
824,267
827,269
832,272
835,274
838,276
842,279
845,281
848,283
851,285
856,288
859,290
862,292
865,294
871,298
872,299
875,301
879,304
882,306
885,308
891,312
893,313
896,315
899,317
903,320
906,322
909,324
914,327
917,329
920,331
923,333
927,336
930,338
935,341
938,343
941,345
944,347
948,350
951,352
954,354
961,359
963,360
966,362
967,363
972,366
975,368
978,370
981,372
985,375
988,377
991,379
996,382
1000,385
1003,387
1006,389
1009,391
1012,393
1015,395
1020,398
1023,400
1026,402
1030,405
1033,407
1039,411
1040,412
1045,415
1046,416
1049,418
1055,422
1057,423
1060,425
1063,427
1067,430
1070,432
1073,434
1078,437
1084,441
1085,442
1088,444
1091,446
1094,448
1097,450
1104,455
1106,456
1107,457
1112,460
1115,462
1118,464
1121,466
1125,469
1128,471
1131,473
1136,476
1139,478
1142,480
1146,483
1149,485
1152,487
1155,489
1160,492
1163,494
1167,497
1170,499
1176,503
1178,504
1179,505
1183,508
1186,510
1189,512
1194,515
1197,517
1201,520
1203,521
1207,524
1210,526
1213,528
1218,531
1221,533
1224,535
1230,539
1234,542
1236,543
1237,544
1242,547
1248,551
1251,553
1254,555
1255,556
1259,559
1262,561
1267,564
1271,567
1274,569
1277,571
1279,572
1282,574
1288,578
1291,580
1295,583
1300,586
1301,587
1303,588
1306,590
1310,593
1313,595
1316,597
1319,599
1324,602
1327,604
1330,606
1335,610
1337,611
1343,615
1344,616
1347,618
1350,620
1356,624
1358,625
1361,627
1364,629
1367,631
1371,634
1374,636
1377,638
1382,641
1385,643
1388,645
1392,648
1395,650
1398,652
1401,654
1406,657
1409,659
1411,661
1414,663
1419,666
1422,668
1425,670
1428,672
1431,674
1435,677
1438,679
1441,681
1444,683
1447,685
1452,688
1456,691
1458,692
1461,694
1467,698
1468,699
1471,701
1476,704
1479,706
1482,708
1485,710
1489,713
1492,715
1496,718
1499,720
1502,722
1505,724
1508,726
1514,730
1516,731
1519,733
1523,736
1526,738
1529,740
1535,744
1537,745
1541,748
1543,749
1547,752
1550,754
1553,756
1559,760
1562,762
1563,763
1566,765
1571,768
1574,770
1577,772
1583,776
1584,777
1587,779
1590,781
1595,784
1598,786
1602,789
1607,792
1608,793
1611,795
1616,798
1620,801
1622,802
1632,809
1637,812
1638,813
1642,816
1645,818
1651,822
1653,823
1654,824
1656,825
1657,826
1660,828
1663,830
1668,833
1671,835
1674,837
1678,840
1681,842
1684,844
1687,846
1692,849
1699,854
1702,856
1705,858
1707,859
1708,860
1711,862
1715,865
1718,867
1723,870
1724,871
1730,875
1735,878
1736,879
1739,881
1744,884
1745,885
1748,887
1753,890
1757,893
1759,894
1763,897
1769,901
1771,902
1774,904
1775,905
1780,908
1783,910
1786,912
1790,915
1802,923
1803,924
1806,926
1809,928
1812,930
1815,932
1821,936
1823,937
1826,939
1829,941
1832,943
1836,946
1839,948
1842,950
1847,953
1850,955
1853,957
1856,959
1859,961
1862,963
1866,966
1869,968
1872,970
1876,973
1878,974
1881,976
1885,979
1888,981
1891,983
1894,985
1899,988
1902,990
1905,992
1908,994
1912,997
1917,1000
1918,1001
1923,1004
1926,1006
1929,1008
1932,1010
1936,1013
1939,1015
1942,1017
1946,1020
1951,1023
1952,1024
1958,1028
1963,1031
1964,1032
1966,1033
1970,1036
1973,1038
1976,1040
1981,1043
1984,1045
1987,1047
1990,1049
1994,1052
1997,1054
2000,1056
2006,1060
2011,1063
2017,1067
2018,1068
2020,1069
2021,1070
2024,1072
2030,1076
2031,1077
2034,1079
2039,1082
2043,1085
2045,1086
2048,1088
2052,1091
2055,1093
2058,1095
2061,1097
2066,1100
2069,1102
2075,1106
2076,1107
2082,1111
2084,1112
2085,1113
2091,1117
2093,1118
2096,1120
2101,1124
2103,1125
2106,1127
2110,1130
2112,1131
2116,1134
2119,1136
2125,1140
2128,1142
2130,1143
2134,1146
2137,1148
2140,1150
2143,1152
2146,1154
2149,1156
2154,1159
2157,1161
2160,1163
2167,1168
2169,1169
2170,1170
2173,1172
2177,1175
2180,1177
2183,1179
2186,1181
2191,1184
2194,1186
2197,1188
2200,1190
2203,1192
2206,1194
2210,1197
2215,1200
2218,1202
2221,1204
2224,1206
2228,1209
2231,1211
2236,1214
2239,1216
2242,1218
2246,1221
2251,1224
2253,1226
2256,1228
2259,1230
2264,1233
2267,1235
2270,1237
2274,1240
2277,1242
2282,1245
2285,1247
2289,1250
2292,1252
2295,1254
2301,1258
2303,1259
2306,1261
2310,1264
2315,1267
2319,1270
2321,1271
2324,1273
2328,1276
2331,1278
2335,1281
2338,1283
2341,1285
2346,1288
2349,1290
2353,1293
2356,1295
2359,1297
2365,1301
2367,1302
2370,1304
2374,1307
2379,1310
2385,1314
2388,1316
2391,1318
2395,1321
2398,1323
2400,1324
2403,1326
2404,1327
2408,1330
2411,1332
2414,1334
2422,1339
2428,1343
2429,1344
2431,1345
2432,1346
2435,1348
2438,1350
2443,1353
2446,1355
2449,1357
2452,1359
2456,1362
2461,1365
2462,1366
2465,1368
2471,1372
2473,1373
2476,1375
2480,1378
2484,1381
2486,1382
2490,1385
2493,1387
2496,1389
2499,1391
2504,1394
2508,1397
2510,1398
2514,1401
2517,1403
2520,1405
2523,1407
2528,1410
2531,1412
2534,1414
2538,1417
2541,1419
2544,1421
2547,1423
2552,1426
2555,1428
2558,1430
2562,1433
2565,1435
2568,1437
2575,1442
2577,1443
2583,1447
2584,1448
2586,1449
2590,1452
2593,1454
2595,1455
2599,1458
2604,1461
2605,1462
2608,1464
2611,1466
2616,1469
2619,1471
2623,1474
2625,1475
2631,1479
2632,1480
2638,1484
2641,1486
2642,1487
2647,1490
2648,1491
2651,1493
2656,1496
2660,1499
2662,1500
2665,1502
2669,1505
2672,1507
2680,1512
2681,1513
2686,1516
2687,1517
2689,1518
