15:11:45,Timestamp,Index,DataRate,PowerLevel
15:12:43,53598,37934,2,3
15:12:43,53600,37935,2,3
15:12:43,53601,37936,2,3
15:12:43,53602,37937,2,3
15:12:43,53604,37938,2,3
15:12:43,53605,37939,2,3
15:12:43,53606,37940,2,3
15:12:43,53608,37941,2,3
15:12:43,53609,37942,2,3
15:12:43,53611,37943,2,3
15:12:43,53612,37944,2,3
15:12:43,53613,37945,2,3
15:12:43,53615,37946,2,3
15:12:43,53616,37947,2,3
15:12:43,53618,37948,2,3
15:12:43,53619,37949,2,3
15:12:43,53620,37950,2,3
15:12:43,53623,37952,2,3
15:12:43,53624,37953,2,3
15:12:43,53627,37955,2,3
15:12:43,53629,37956,2,3
15:12:43,53630,37957,2,3
15:12:43,53631,37958,2,3
15:12:43,53633,37959,2,3
15:12:43,53634,37960,2,3
15:12:43,53636,37961,2,3
15:12:43,53637,37962,2,3
15:12:43,53640,37964,2,3
15:12:43,53641,37965,2,3
15:12:43,53642,37966,2,3
15:12:43,53644,37967,2,3
15:12:43,53645,37968,2,3
15:12:43,53647,37969,2,3
15:12:43,53649,37971,2,3
15:12:43,53651,37972,2,3
15:12:43,53652,37973,2,3
15:12:43,53654,37974,2,3
15:12:43,53656,37976,2,3
15:12:43,53658,37977,2,3
15:12:43,53660,37979,2,3
15:12:43,53662,37980,2,3
15:12:43,53663,37981,2,3
15:12:43,53665,37982,2,3
15:12:43,53666,37983,2,3
15:12:43,53667,37984,2,3
15:12:43,53669,37985,2,3
15:12:43,53672,37987,2,3
15:12:43,53673,37988,2,3
15:12:43,53674,37989,2,3
15:12:43,53676,37990,2,3
15:12:43,53677,37991,2,3
15:12:43,53678,37992,2,3
15:12:43,53683,37995,2,3
15:12:43,53684,37996,2,3
15:12:43,53685,37997,2,3
15:12:43,53690,38000,2,3
15:12:43,53691,38001,2,3
15:12:43,53692,38002,2,3
15:12:43,53694,38003,2,3
15:12:43,53695,38004,2,3
15:12:43,53696,38005,2,3
15:12:43,53698,38006,2,3
15:12:43,53699,38007,2,3
15:12:43,53701,38008,2,3
15:12:43,53702,38009,2,3
15:12:43,53703,38010,2,3
15:12:43,53705,38011,2,3
15:12:43,53708,38013,2,3
15:12:43,53709,38014,2,3
15:12:43,53710,38015,2,3
15:12:43,53712,38016,2,3
15:12:43,53724,38025,2,3
15:12:43,53730,38029,2,3
15:12:43,53735,38033,2,3
15:12:43,53746,38041,2,3
15:12:43,53755,38047,2,3
15:12:43,53757,38049,2,3
15:12:43,53764,38054,2,3
15:12:43,53767,38056,2,3
15:12:43,53768,38057,2,3
15:12:43,53773,38060,2,3
15:12:43,53775,38062,2,3
15:12:43,53780,38065,2,3
15:12:43,53785,38069,2,3
15:12:43,53788,38071,2,3
15:12:43,53789,38072,2,3
15:12:43,53792,38074,2,3
15:12:43,53796,38077,2,3
15:12:43,53798,38078,2,3
15:12:43,53802,38081,2,3
15:12:43,53803,38082,2,3
15:12:43,53809,38086,2,3
15:12:43,53810,38087,2,3
15:12:43,53813,38089,2,3
15:12:43,53814,38090,2,3
15:12:43,53817,38092,2,3
15:12:43,53820,38094,2,3
15:12:43,53821,38095,2,3
15:12:43,53823,38096,2,3
15:12:43,53824,38097,2,3
15:12:43,53825,38098,2,3
15:12:43,53827,38099,2,3
15:12:43,53834,38104,2,3
15:12:43,53839,38108,2,3
15:12:43,53841,38109,2,3
15:12:43,53842,38110,2,3
15:12:43,53843,38111,2,3
15:12:43,53846,38113,2,3
15:12:43,53847,38114,2,3
15:12:43,53850,38116,2,3
15:12:43,53852,38117,2,3
15:12:43,53853,38118,2,3
15:12:43,53857,38121,2,3
15:12:43,53859,38122,2,3
15:12:43,53860,38123,2,3
15:12:43,53863,38125,2,3
15:12:43,53867,38128,2,3
15:12:43,53868,38129,2,3
15:12:43,53870,38130,2,3
15:12:43,53871,38131,2,3
15:12:43,53872,38132,2,3
15:12:43,53874,38133,2,3
15:12:43,53875,38134,2,3
15:12:43,53879,38137,2,3
15:12:43,53883,38140,2,3
15:12:43,53885,38141,2,3
15:12:43,53886,38142,2,3
15:12:43,53888,38143,2,3
15:12:43,53890,38145,2,3
15:12:43,53892,38146,2,3
15:12:43,53896,38149,2,3
15:12:43,53897,38150,2,3
15:12:43,53901,38153,2,3
15:12:43,53903,38154,2,3
15:12:43,53904,38155,2,3
15:12:43,53906,38156,2,3
15:12:43,53911,38160,2,3
15:12:43,53913,38161,2,3
15:12:43,53915,38163,2,3
15:12:43,53917,38164,2,3
15:12:43,53918,38165,2,3
15:12:43,53921,38167,2,3
15:12:43,53922,38168,2,3
15:12:43,53924,38169,2,3
15:12:43,53926,38171,2,3
15:12:43,53928,38172,2,3
15:12:43,53931,38174,2,3
