15:07:52,Timestamp,Index,DataRate,PowerLevel
15:08:23,24212,15005,1,1
15:08:23,24234,15019,1,1
15:08:23,24254,15032,1,1
15:08:23,24268,15041,1,1
15:08:23,24371,15108,1,1
15:08:23,24419,15139,1,1
15:08:23,24424,15142,1,1
15:08:23,24428,15145,1,1
15:08:23,24433,15148,1,1
15:08:23,24436,15150,1,1
15:08:23,24437,15151,1,1
15:08:23,24502,15193,1,1
15:08:23,24511,15199,1,1
15:08:23,24549,15223,1,1
15:08:23,24553,15226,1,1
15:08:23,24555,15227,1,1
15:08:23,24564,15233,1,1
15:08:23,24619,15269,1,1
15:08:23,24632,15277,1,1
15:08:23,24657,15293,1,1
15:08:23,24701,15322,1,1
15:08:24,25001,15516,1,1
15:08:24,25095,15577,1,1
15:08:24,25410,15781,1,1
15:08:53,53911,34252,1,1
15:08:53,54012,34318,1,1
15:08:53,54052,34344,1,1
15:08:54,55554,35317,1,3
15:08:54,55557,35319,1,3
15:08:54,55565,35324,1,3
15:08:54,55568,35326,1,3
15:08:54,55569,35327,1,3
15:08:54,55571,35328,1,3
15:08:54,55572,35329,1,3
15:08:54,55574,35330,1,3
15:08:54,55575,35331,1,3
15:08:54,55577,35332,1,3
15:08:54,55579,35333,1,3
15:08:54,55580,35334,1,3
15:08:54,55582,35335,1,3
15:08:54,55583,35336,1,3
15:08:54,55585,35337,1,3
15:08:54,55586,35338,1,3
15:08:54,55588,35339,1,3
15:08:54,55589,35340,1,3
15:08:54,55592,35342,1,3
15:08:54,55594,35343,1,3
15:08:54,55596,35344,1,3
15:08:54,55597,35345,1,3
15:08:54,55599,35346,1,3
15:08:54,55600,35347,1,3
15:08:54,55603,35349,1,3
15:08:54,55605,35350,1,3
15:08:54,55608,35352,1,3
15:08:54,55609,35353,1,3
15:08:54,55611,35354,1,3
15:08:54,55612,35355,1,3
15:08:54,55616,35357,1,3
15:08:54,55619,35359,1,3
15:08:54,55620,35360,1,3
15:08:54,55622,35361,1,3
15:08:54,55623,35362,1,3
15:08:54,55625,35363,1,3
15:08:54,55626,35364,1,3
15:08:54,55629,35366,1,3
15:08:54,55631,35367,1,3
15:08:54,55633,35368,1,3
15:08:54,55634,35369,1,3
15:08:54,55636,35370,1,3
15:08:54,55639,35372,1,3
15:08:54,55640,35373,1,3
15:08:54,55642,35374,1,3
15:08:54,55643,35375,1,3
15:08:54,55645,35376,1,3
15:08:54,55646,35377,1,3
15:08:54,55648,35378,1,3
15:08:54,55650,35379,1,3
15:08:54,55651,35380,1,3
15:08:54,55654,35382,1,3
15:08:54,55656,35383,1,3
15:08:54,55659,35385,1,3
15:08:54,55660,35386,1,3
