CurrentTime,Timestamp,Index,DataRate,PowerLevel,counter
16:27:54,Timestamp,Index,DataRate,PowerLevel,Counter
16:28:04,2311,1,1,0,0
16:28:04,2312,2,1,0,0
16:28:04,2314,3,1,0,0
16:28:04,2315,4,1,0,0
16:28:04,2316,5,1,0,0
16:28:04,2439,6,1,0,0
16:28:04,2440,7,1,0,0
16:28:04,2441,8,1,0,0
16:28:04,2443,9,1,0,0
16:28:04,2444,10,1,0,0
16:28:04,2445,11,1,0,0
16:28:04,2447,12,1,0,0
16:28:04,2448,13,1,0,0
16:28:04,2449,14,1,0,0
16:28:04,2451,15,1,0,0
16:28:04,2452,16,1,0,0
16:28:04,2453,17,1,0,0
16:28:04,2455,18,1,0,0
16:28:04,2456,19,1,0,0
16:28:04,2457,20,1,0,0
16:28:04,2459,21,1,0,0
16:28:04,2460,22,1,0,0
16:28:04,2462,23,1,0,0
16:28:04,2463,24,1,0,0
16:28:04,2464,25,1,0,0
16:28:04,2466,26,1,0,0
16:28:04,2467,27,1,0,0
16:28:04,2468,28,1,0,0
16:28:04,2470,29,1,0,0
16:28:04,2471,30,1,0,0
16:28:04,2472,31,1,0,0
16:28:04,2474,32,1,0,0
16:28:04,2475,33,1,0,0
16:28:04,2476,34,1,0,0
16:28:04,2478,35,1,0,0
16:28:04,2479,36,1,0,0
16:28:04,2480,37,1,0,0
16:28:04,2482,38,1,0,0
16:28:04,2483,39,1,0,0
16:28:04,2485,40,1,0,0
16:28:04,2486,41,1,0,0
16:28:04,2487,42,1,0,0
16:28:04,2489,43,1,0,0
16:28:04,2490,44,1,0,0
16:28:04,2491,45,1,0,0
16:28:04,2493,46,1,0,0
16:28:04,2494,47,1,0,0
16:28:04,2495,48,1,0,0
16:28:04,2497,49,1,0,0
16:28:04,2498,50,1,0,0
16:28:04,2499,51,1,0,0
16:28:04,2501,52,1,0,0
16:28:04,2502,53,1,0,0
16:28:04,2503,54,1,0,0
16:28:04,2505,55,1,0,0
16:28:04,2506,56,1,0,0
16:28:04,2508,57,1,0,0
16:28:04,2509,58,1,0,0
16:28:04,2510,59,1,0,0
16:28:04,2512,60,1,0,0
16:28:04,2513,61,1,0,0
16:28:04,2514,62,1,0,0
16:28:04,2516,63,1,0,0
16:28:04,2517,64,1,0,0
16:28:04,2518,65,1,0,0
16:28:04,2520,66,1,0,0
16:28:04,2521,67,1,0,0
16:28:04,2522,68,1,0,0
16:28:04,2524,69,1,0,0
16:28:04,2525,70,1,0,0
16:28:04,2526,71,1,0,0
16:28:04,2528,72,1,0,0
16:28:04,2529,73,1,0,0
16:28:04,2531,74,1,0,0
16:28:04,2532,75,1,0,0
16:28:04,2533,76,1,0,0
16:28:04,2535,77,1,0,0
16:28:04,2536,78,1,0,0
16:28:04,2537,79,1,0,0
16:28:04,2539,80,1,0,0
16:28:04,2540,81,1,0,0
16:28:04,2541,82,1,0,0
16:28:04,2543,83,1,0,0
16:28:04,2544,84,1,0,0
16:28:04,2545,85,1,0,0
16:28:04,2547,86,1,0,0
16:28:04,2548,87,1,0,0
16:28:04,2549,88,1,0,0
16:28:04,2551,89,1,0,0
16:28:04,2552,90,1,0,0
16:28:04,2554,91,1,0,0
16:28:05,2555,92,1,0,0
16:28:05,2556,93,1,0,0
16:28:05,2558,94,1,0,0
16:28:05,2559,95,1,0,0
16:28:05,2560,96,1,0,0
16:28:05,2562,97,1,0,0
16:28:05,2563,98,1,0,0
16:28:05,2564,99,1,0,0
16:28:05,2566,100,1,0,0
16:28:05,2567,101,1,0,0
16:28:05,2568,102,1,0,0
16:28:05,2570,103,1,0,0
16:28:05,2571,104,1,0,0
16:28:05,2572,105,1,0,0
16:28:05,2574,106,1,0,0
16:28:05,2575,107,1,0,0
16:28:05,2577,108,1,0,0
16:28:05,2578,109,1,0,0
16:28:05,2579,110,1,0,0
16:28:05,2581,111,1,0,0
16:28:05,2582,112,1,0,0
16:28:05,2583,113,1,0,0
16:28:05,2585,114,1,0,0
16:28:05,2586,115,1,0,0
16:28:05,2587,116,1,0,0
16:28:05,2589,117,1,0,0
16:28:05,2590,118,1,0,0
16:28:05,2591,119,1,0,0
16:28:05,2593,120,1,0,0
16:28:05,2594,121,1,0,0
16:28:05,2595,122,1,0,0
16:28:05,2597,123,1,0,0
16:28:05,2598,124,1,0,0
16:28:05,2600,125,1,0,0
16:28:05,2601,126,1,0,0
16:28:05,2602,127,1,0,0
16:28:05,2604,128,1,0,0
16:28:05,2605,129,1,0,0
16:28:05,2606,130,1,0,0
16:28:05,2608,131,1,0,0
16:28:05,2609,132,1,0,0
16:28:05,2610,133,1,0,0
16:28:05,2612,134,1,0,0
16:28:05,2613,135,1,0,0
16:28:05,2614,136,1,0,0
16:28:05,2616,137,1,0,0
16:28:05,2617,138,1,0,0
16:28:05,2618,139,1,0,0
16:28:05,2620,140,1,0,0
16:28:05,2621,141,1,0,0
16:28:05,2623,142,1,0,0
16:28:05,2624,143,1,0,0
16:28:05,2625,144,1,0,0
16:28:05,2627,145,1,0,0
16:28:05,2628,146,1,0,0
16:28:05,2629,147,1,0,0
16:28:05,2631,148,1,0,0
16:28:05,2632,149,1,0,0
16:28:05,2633,150,1,0,0
16:28:05,2635,151,1,0,0
16:28:05,2636,152,1,0,0
16:28:05,2637,153,1,0,0
16:28:05,2639,154,1,0,0
16:28:05,2640,155,1,0,0
16:28:05,2641,156,1,0,0
16:28:05,2643,157,1,0,0
16:28:05,2644,158,1,0,0
16:28:05,2646,159,1,0,0
16:28:05,2647,160,1,0,0
16:28:05,2648,161,1,0,0
