Index,Timestamp,Millis,Indicator
1,13:43:13,310,1
2,13:43:13,312,1
3,13:43:13,315,1
4,13:43:13,317,1
5,13:43:13,320,1
6,13:43:13,322,1
7,13:43:13,325,1
8,13:43:13,327,1
9,13:43:13,330,1
10,13:43:13,332,1
11,13:43:13,335,1
12,13:43:13,337,1
13,13:43:13,340,1
14,13:43:13,342,1
15,13:43:13,345,1
16,13:43:13,347,1
17,13:43:13,350,1
18,13:43:13,352,1
19,13:43:13,355,1
20,13:43:13,357,1
21,13:43:13,360,1
22,13:43:13,362,1
23,13:43:13,365,1
24,13:43:13,367,1
25,13:43:13,370,1
26,13:43:13,372,1
27,13:43:13,375,1
28,13:43:13,377,1
29,13:43:13,380,1
30,13:43:13,382,1
31,13:43:13,385,1
32,13:43:13,387,1
33,13:43:13,390,1
34,13:43:13,392,1
35,13:43:13,395,1
36,13:43:13,397,1
37,13:43:13,400,1
38,13:43:13,402,1
39,13:43:13,405,1
40,13:43:13,407,1
41,13:43:13,410,1
42,13:43:13,412,1
43,13:43:13,414,1
44,13:43:13,417,1
45,13:43:13,419,1
46,13:43:13,422,1
47,13:43:13,424,1
48,13:43:13,427,1
49,13:43:13,429,1
50,13:43:13,432,1
51,13:43:13,434,1
52,13:43:13,437,1
53,13:43:13,439,1
54,13:43:13,442,1
55,13:43:13,444,1
56,13:43:13,447,1
57,13:43:13,449,1
58,13:43:13,452,1
59,13:43:13,454,1
60,13:43:13,457,1
61,13:43:13,459,1
62,13:43:13,462,1
63,13:43:13,464,1
64,13:43:13,467,1
65,13:43:13,469,1
66,13:43:13,472,1
67,13:43:13,474,1
68,13:43:13,477,1
69,13:43:13,479,1
70,13:43:13,482,1
71,13:43:13,484,1
72,13:43:13,487,1
73,13:43:13,489,1
74,13:43:13,492,1
75,13:43:13,494,1
76,13:43:13,497,1
77,13:43:13,499,1
78,13:43:13,502,1
79,13:43:13,504,1
80,13:43:13,507,1
81,13:43:13,509,1
82,13:43:13,512,1
83,13:43:13,514,1
84,13:43:13,517,1
85,13:43:13,519,1
86,13:43:13,522,1
87,13:43:13,524,1
88,13:43:13,527,1
89,13:43:13,529,1
90,13:43:13,532,1
91,13:43:13,534,1
92,13:43:13,536,1
93,13:43:13,539,1
94,13:43:13,541,1
95,13:43:13,544,1
96,13:43:13,546,1
97,13:43:13,549,1
98,13:43:13,551,1
99,13:43:13,554,1
100,13:43:13,556,1
101,13:43:13,559,1
102,13:43:13,561,1
103,13:43:13,564,1
104,13:43:13,566,1
105,13:43:13,569,1
106,13:43:13,571,1
107,13:43:13,574,1
108,13:43:13,576,1
109,13:43:13,579,1
110,13:43:13,581,1
111,13:43:13,584,1
112,13:43:13,586,1
113,13:43:13,589,1
114,13:43:13,591,1
115,13:43:13,594,1
116,13:43:13,596,1
117,13:43:13,599,1
118,13:43:13,601,1
119,13:43:13,604,1
120,13:43:13,606,1
121,13:43:13,609,1
122,13:43:13,611,1
123,13:43:13,614,1
124,13:43:13,616,1
125,13:43:13,619,1
126,13:43:13,621,1
127,13:43:13,624,1
128,13:43:13,626,1
129,13:43:13,629,1
130,13:43:13,631,1
131,13:43:13,634,1
132,13:43:13,636,1
133,13:43:13,639,1
134,13:43:13,641,1
135,13:43:13,644,1
136,13:43:13,646,1
137,13:43:13,649,1
138,13:43:13,651,1
139,13:43:13,654,1
140,13:43:13,656,1
141,13:43:13,659,1
142,13:43:13,661,1
143,13:43:13,663,1
144,13:43:13,666,1
145,13:43:13,668,1
146,13:43:13,671,1
147,13:43:13,673,1
148,13:43:13,676,1
149,13:43:13,678,1
150,13:43:13,681,1
151,13:43:13,683,1
152,13:43:13,686,1
153,13:43:13,688,1
154,13:43:13,691,1
155,13:43:13,693,1
156,13:43:13,696,1
157,13:43:13,698,1
158,13:43:13,701,1
159,13:43:13,703,1
160,13:43:13,706,1
161,13:43:13,708,1
162,13:43:13,711,1
163,13:43:13,713,1
164,13:43:13,716,1
165,13:43:13,718,1
166,13:43:13,721,1
167,13:43:13,723,1
168,13:43:13,726,1
169,13:43:13,728,1
170,13:43:13,731,1
171,13:43:13,733,1
172,13:43:13,736,1
173,13:43:13,738,1
174,13:43:13,741,1
175,13:43:13,743,1
176,13:43:13,746,1
177,13:43:13,748,1
178,13:43:13,751,1
179,13:43:13,753,1
180,13:43:13,756,1
181,13:43:13,758,1
182,13:43:13,761,1
183,13:43:13,763,1
184,13:43:13,766,1
185,13:43:13,768,1
186,13:43:13,771,1
187,13:43:13,773,1
188,13:43:13,776,1
189,13:43:13,778,1
190,13:43:13,781,1
191,13:43:13,783,1
192,13:43:13,785,1
193,13:43:13,788,1
194,13:43:13,790,1
195,13:43:13,793,1
196,13:43:13,795,1
197,13:43:13,798,1
198,13:43:13,800,1
199,13:43:13,803,1
200,13:43:13,805,1
201,13:43:13,808,1
202,13:43:13,810,1
203,13:43:13,813,1
204,13:43:13,815,1
205,13:43:13,818,1
206,13:43:13,820,1
207,13:43:13,823,1
208,13:43:13,825,1
209,13:43:13,828,1
210,13:43:13,830,1
211,13:43:13,833,1
212,13:43:13,835,1
213,13:43:13,838,1
214,13:43:13,840,1
215,13:43:13,843,1
216,13:43:13,845,1
217,13:43:13,848,1
218,13:43:13,850,1
219,13:43:13,853,1
220,13:43:13,855,1
221,13:43:13,858,1
222,13:43:13,860,1
223,13:43:13,863,1
224,13:43:13,865,1
225,13:43:13,868,1
226,13:43:13,870,1
227,13:43:13,873,1
228,13:43:13,875,1
229,13:43:13,878,1
230,13:43:13,880,1
231,13:43:13,883,1
232,13:43:13,885,1
233,13:43:13,888,1
234,13:43:13,890,1
235,13:43:13,893,1
236,13:43:13,895,1
237,13:43:13,898,1
238,13:43:13,900,1
239,13:43:13,903,1
240,13:43:13,905,1
241,13:43:13,908,1
242,13:43:13,910,1
243,13:43:13,912,1
244,13:43:13,915,1
245,13:43:13,917,1
246,13:43:13,920,1
247,13:43:13,922,1
248,13:43:13,925,1
249,13:43:13,927,1
250,13:43:14,930,1
251,13:43:14,932,1
252,13:43:14,935,1
253,13:43:14,937,1
254,13:43:14,940,1
255,13:43:14,942,1
256,13:43:14,945,1
257,13:43:14,947,1
258,13:43:14,950,1
259,13:43:14,952,1
260,13:43:14,955,1
261,13:43:14,957,1
262,13:43:14,960,1
263,13:43:14,962,1
264,13:43:14,965,1
265,13:43:14,967,1
266,13:43:14,970,1
267,13:43:14,972,1
268,13:43:14,975,1
269,13:43:14,977,1
270,13:43:14,980,1
271,13:43:14,982,1
272,13:43:14,985,1
273,13:43:14,987,1
274,13:43:14,990,1
275,13:43:14,992,1
276,13:43:14,995,1
