Timestamp ID Value1 Value2 Value3 Value4 Byte1 Byte2 Byte3 Byte4
788765 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788854 0x2014 0 0 0 0 FF F5 0 0
788862 0x2114 0 0 0 0 FF FF FF FF
788765 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788877 0x2014 0 0 0 0 FF 73 0 1
788862 0x2114 0 0 0 0 FF FF FF FF
788765 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788877 0x2014 0 0 0 0 FF 73 0 1
788884 0x2114 0 0 0 0 FF FF FF FF
788765 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788877 0x2014 0 0 0 0 FF 73 0 1
788884 0x2114 0 0 0 0 FF FF FF FF
788892 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788877 0x2014 0 0 0 0 FF 73 0 1
788884 0x2114 0 0 0 0 FF FF FF FF
788892 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788906 0x2014 0 0 0 0 FF D6 0 0
788884 0x2114 0 0 0 0 FF FF FF FF
788892 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788906 0x2014 0 0 0 0 FF D6 0 0
788914 0x2114 0 0 0 0 FF FF FF FF
788892 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788906 0x2014 0 0 0 0 FF D6 0 0
788914 0x2114 0 0 0 0 FF FF FF FF
788892 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788929 0x2014 0 0 0 0 FF 43 0 0
788914 0x2114 0 0 0 0 FF FF FF FF
788892 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788929 0x2014 0 0 0 0 FF 43 0 0
788936 0x2114 0 0 0 0 FF FF FF FF
788892 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788929 0x2014 0 0 0 0 FF 43 0 0
788936 0x2114 0 0 0 0 FF FF FF FF
788944 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788929 0x2014 0 0 0 0 FF 43 0 0
788936 0x2114 0 0 0 0 FF FF FF FF
788944 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788958 0x2014 0 0 0 0 FF 7E 0 0
788936 0x2114 0 0 0 0 FF FF FF FF
788944 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788958 0x2014 0 0 0 0 FF 7E 0 0
788966 0x2114 0 0 0 0 FF FF FF FF
788944 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788958 0x2014 0 0 0 0 FF 7E 0 0
788966 0x2114 0 0 0 0 FF FF FF FF
788944 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788981 0x2014 0 0 0 0 FF 75 0 1
788966 0x2114 0 0 0 0 FF FF FF FF
788944 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788981 0x2014 0 0 0 0 FF 75 0 1
788988 0x2114 0 0 0 0 FF FF FF FF
788944 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
788981 0x2014 0 0 0 0 FF 75 0 1
788988 0x2114 0 0 0 0 FF FF FF FF
788944 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
789003 0x2014 0 0 0 0 FF BA 0 0
788988 0x2114 0 0 0 0 FF FF FF FF
788944 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
789003 0x2014 0 0 0 0 FF BA 0 0
789011 0x2114 0 0 0 0 FF FF FF FF
788944 0x2214 0 C8 4 F5 2 FF FF FF
788817 0x2314 0 0 0 0 0 0 0 0
789003 0x2014 0 0 0 0 FF BA 0 0
