Timestamp ID Value1 Value2 Value3 Value4 Byte1 Byte2 Byte3 Byte4
142172 0x2314 0 0 0 0 0 0 0 0
143124 0x2014 0 0 0 0 FF AC 0 1
143132 0x2114 0 0 0 0 FF FF FF FF
143109 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
143146 0x2014 0 0 0 0 FF 73 0 1
143132 0x2114 0 0 0 0 FF FF FF FF
143109 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
143146 0x2014 0 0 0 0 FF 73 0 1
143154 0x2114 0 0 0 0 FF FF FF FF
143109 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
143146 0x2014 0 0 0 0 FF 73 0 1
143154 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
143146 0x2014 0 0 0 0 FF 73 0 1
143154 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
143176 0x2014 0 0 0 0 FF 46 0 1
143154 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
143176 0x2014 0 0 0 0 FF 46 0 1
143184 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
143176 0x2014 0 0 0 0 FF 46 0 1
143184 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
143199 0x2014 0 0 0 0 FF 92 0 1
143184 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
143199 0x2014 0 0 0 0 FF 92 0 1
143206 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
142172 0x2314 0 0 0 0 0 0 0 0
143199 0x2014 0 0 0 0 FF 92 0 1
143206 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143199 0x2014 0 0 0 0 FF 92 0 1
143206 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143228 0x2014 0 0 0 0 FF 63 0 1
143206 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143228 0x2014 0 0 0 0 FF 63 0 1
143236 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143228 0x2014 0 0 0 0 FF 63 0 1
143236 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143251 0x2014 0 0 0 0 FF 8A 0 1
143236 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143251 0x2014 0 0 0 0 FF 8A 0 1
143258 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143251 0x2014 0 0 0 0 FF 8A 0 1
143258 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143273 0x2014 0 0 0 0 FF 40 0 0
143258 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143273 0x2014 0 0 0 0 FF 40 0 0
143280 0x2114 0 0 0 0 FF FF FF FF
143161 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143273 0x2014 0 0 0 0 FF 40 0 0
143280 0x2114 0 0 0 0 FF FF FF FF
